Dont_Be_Inside_Root_Chest
BulletPower,1200
BulletSpeed,1.7
Acceleration,0.43f
accelerationFuse,60
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
lookDown,90
isOneuse,true
MaxstackSize,16
Explosion,2.5f
BlockDestory,true
Texture,9K114
ObjModel,9K114.mqo
ObjTexture,9K114.png
ModelScala,0.5f
GunSound_FullName,handmadevehicle:handmadevehicle.Tube_missileLauch,handmadevehicle:handmadevehicle.Tube_missileLauch
GunSoundReload,handmadeguns.null
Weight,31.4
seekerSize,10
BulletNameALL,S-5

lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true

Induction_precision,30
bulletStability,0.2
SACLOS_Homing,true

NeedFix,true



Tabname,VehicleWeapons
Name,9K114
RR,9K114
