Dont_Be_Inside_Root_Chest
BulletPower,500
BulletSpeed,0
Acceleration,1.02f
accelerationDelay,0
accelerationFuse,80
bulletFuse,900
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
isOneuse,true
MaxstackSize,16
Explosion,2.5f
BlockDestory,true
Texture,AIM-9E
ObjModel,AIM-9.mqo
ObjTexture,AIM-9.png
ModelScala,5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,80

BulletNameALL,AIM-9E
lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true
lockOn_minThrottle,1.5
lock_to_Vehicle,true

Induction_precision,8
bulletStability,0.4
hasVT,true
VTRange,20
VTWidth,90
damagerange,30
Canlock,true
lock_to_Vehicle,true
seekerSize_bullet,100
seekerSize,75

NeedFix,true



Tabname,VehicleWeapons
Name,AIM-9E
RR,AIM-9E
