Dont_Be_Inside_Root_Chest
BulletPower,800
BulletSpeed,1.7
Acceleration,0.43f
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
lookDown,90
isOneuse,true
MaxstackSize,16
Explosion,2.5f
BlockDestory,true
Texture,HJ-9
ObjModel,HJ-9.mqo
ObjTexture,HJ-9.png
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,31.4
seekerSize,10
BulletNameALL,S-5

lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true

Induction_precision,60
bulletStability,0.2
SACLOS_Homing,true

NeedFix,true



Tabname,VehicleWeapons
Name,HJ-9
RR,HJ-9
