Dont_Be_Inside_Root_Chest
BulletPower,500
BulletSpeed,0
Acceleration,0.43f
accelerationDelay,0
accelerationFuse,80
bulletFuse,600
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
isOneuse,true
MaxstackSize,16
Explosion,2.5f
BlockDestory,true
Texture,R-3
ObjModel,R-3.mqo
ObjTexture,R-3.png
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,80

BulletNameALL,R-3AAM
lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true
lockOn_minThrottle,2.5
lock_to_Vehicle,true

Induction_precision,4
bulletStability,0.4
hasVT,true
VTRange,10
VTWidth,90
damagerange,10
Canlock,true
lock_to_Vehicle,true
seekerSize_bullet,45
seekerSize,45

NeedFix,true

Turretanglelimit,0,0,0,0


Tabname,VehicleWeapons
Name,R-3
RR,R-3
