Dont_Be_Inside_Root_Chest
BulletPower,500
BulletSpeed,0.5
Acceleration,0.23f
accelerationFuse,80
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
lookDown,90
isOneuse,true
MaxstackSize,16
Explosion,2.5f
BlockDestory,true
Texture,9M113
ObjModel,9M113.mqo
ObjTexture,9K114.png
ModelScala,0.5f
GunSound_FullName,handmadevehicle:handmadevehicle.Tube_missileLauch,handmadevehicle:handmadevehicle.Tube_missileLauch
GunSoundReload,handmadeguns.null
Weight,31.4
BulletNameALL,S-5

lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true

Induction_precision,20
bulletStability,0.8
SACLOS_Homing,true

NeedFix,true



Tabname,VehicleWeapons
Name,9M113
RR,9M113
