Dont_Be_Inside_Root_Chest
BulletPower,800
BulletSpeed,0
Acceleration,1f
resistance,0.95f
accelerationDelay,20
accelerationFuse,100
BulletGravity,0.485
bulletFuse,1200
ReloadTime,-1
RemainingBullet,1
isOneuse,true
MaxstackSize,16
Explosion,2.5f
BlockDestory,true
Texture,R-27
ObjModel,R-27.mqo
ObjTexture,R-3.png
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,80

BulletNameALL,R-27AAM
lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true
lockOn_minThrottle,2.5
lock_to_Vehicle,true

Induction_precision,4
bulletStability,0.1
hasVT,true
VTRange,20
VTWidth,90
damagerange,30
Canlock,true
lock_to_Vehicle,true
seekerSize_bullet,60
seekerSize,60

semiActive,true
NeedFix,true
chunkLoaderBullet,true


Tabname,VehicleWeapons
Name,R-27
RR,R-27
